시군구명,폐교명,대지,담당자 전화번호,소재지지번주소,_X,_Y,건물연면적,이미지경로,이미지이름,주차가능 대수
동두천시,동두천초걸산분교장,2175,031-860-4372,경기도 동두천시 걸산동 50-8,127.1065975,37.9281986,0,C:\\school,동두천시_동두천초걸산분교장.jpg,73
양주시,가납초현암분교장,6809,031-870-4041,경기도 양주시 광적면 비암리231-4,126.9289127,37.8099505,0,C:\\school,양주시_가납초현암분교장.jpg,227
양주시,유양초천성분교장,2030,031-870-4041,경기도 양주시 유양동 725,127.0110688,37.7947048,0,C:\\school,양주시_유양초천성분교장.jpg,68
고양시,백마초장항분교장,4355,031-900-2973,경기도 고양시 일산동구 장항동580-20,126.7696034,37.6385645,497,C:\\school,고양시_백마초장항분교장.jpg,129
고양시,구.고양중,19545,031-900-2973,경기도 고양시 덕양구 삼송동45,126.8923617,37.6558356,5035,C:\\school,고양시_구.고양중.jpg,484
고양시,구.삼송초,4679,031-900-2973,경기도 고양시 덕양구 삼송동62,126.8963909,37.6561878,0,C:\\school,고양시_구.삼송초.jpg,156
남양주시,남양주송촌초시우분교장,3738,031-550-6253,경기도 남양주시 조안면 시우리122-20,127.2958481,37.5876875,146,C:\\school,남양주시_남양주송촌초시우분교장.jpg,120
남양주시,마석초녹촌분교장,7392,031-550-6253,경기도 남양주시 화도읍 녹촌리272,127.2862657,37.6519309,431,C:\\school,남양주시_마석초녹촌분교장.jpg,232
파주시,용운초,13171,031-940-7334,경기도 파주시 적성면 객현리385-2,126.9482389,37.9737601,1343,C:\\school,파주시_용운초.jpg,394
파주시,금곡초,9414,031-940-7334,경기도 파주시 법원읍 금곡리336-5,126.8778329,37.8846186,1017,C:\\school,파주시_금곡초.jpg,280
파주시,법원초,13253,031-940-7334,경기도 파주시 법원읍 법원리500,126.8799817,37.8565257,2326,C:\\school,파주시_법원초.png,364
파주시,적성초,14716,031-940-7334,경기도 파주시 적성면 가월리114-5,126.9179403,37.9781824,1443,C:\\school,파주시_적성초.jpg,442
파주시,구.교하중,20297,031-940-7334,경기도 파주시 다율동 56-8,126.7387093,37.7468038,2231,C:\\school,파주시_구.교하중.png,602
파주시,신산초영장분교장,7473,031-940-7334,경기도 파주시 광탄면 영장리256-1,126.9081572,37.7763844,449,C:\\school,파주시_신산초영장분교장.png,234
연천군,연천왕산초마전분교장(A),6033,031-839-0222,경기도 연천군 미산면 동이리596-1,126.9908022,38.0232883,517,C:\\school,연천군_연천왕산초마전분교장(A).jpg,184
연천군,연천왕산초동중분교장,7479,031-839-0222,경기도 연천군 왕징면 동중리461-1,126.9535076,38.0691062,0,C:\\school,연천군_연천왕산초동중분교장.png,249
연천군,연천초고문분교장,8937,031-839-0222,경기도 연천군 연천읍 고문리259-1,127.1130754,38.0652113,807,C:\\school,연천군_연천초고문분교장.png,271
연천군,전곡초양원분교장,11283,031-839-0222,경기도 연천군 전곡읍 양원리560,127.0223904,37.992176,551,C:\\school,연천군_전곡초양원분교장.jpg,358
연천군,군남초북삼분교장,4863,031-839-0222,경기도 연천군 왕징면 북삼리160-4,127.0044622,38.0953998,259,C:\\school,연천군_군남초북삼분교장.jpg,153
연천군,옥계초,8114,031-839-0222,경기도 연천군 군남면 옥계리475-4,127.0469645,38.1203284,1246,C:\\school,연천군_옥계초.jpg,229
연천군,백학초고랑포분교장,12979,031-839-0222,경기도 연천군 장남면 원당리678,126.8836892,37.9809057,1031,C:\\school,연천군_백학초고랑포분교장.jpg,398
연천군,연천왕산초마전분교장(B),12878,031-839-0222,경기도 연천군 미산면 유촌리625,126.9885418,38.0493017,500,C:\\school,연천군_연천왕산초마전분교장(B).jpg,413
연천군,구.군남초,12920,031-839-0222,경기도 연천군 군남면 삼거리597,127.0167264,38.08102,2150,C:\\school,연천군_구.군남초.png,359
연천군,전곡초적동분교장,8869,031-839-0222,경기도 연천군 전곡읍 늘목리111-2,127.0007987,37.9405229,745,C:\\school,연천군_전곡초적동분교장.png,271
연천군,구.대광중,33545,031-839-0222,경기도 연천군 신서면 도신리228,127.1087379,38.1791859,2939,C:\\school,연천군_구.대광중.jpg,1020
포천시,삼정초금동분교장,7538,031-539-0033,경기도 포천시 신북면 금동리247-1,127.1272406,37.9445635,0,C:\\school,포천시_삼정초금동분교장.png,251
포천시,관인초사정분교장,9787,031-539-0033,경기도 포천시 관인면 사정리136-1,127.253376,38.1236617,650,C:\\school,포천시_관인초사정분교장.png,305
포천시,보장초,10152,031-539-0033,경기도 포천시 창수면 오가리424,127.1916269,38.0281596,1751,C:\\school,포천시_보장초.png,280
포천시,영북초보광분교장,12834,031-539-0033,경기도 포천시 영북면 야미리276,127.2724124,38.0541152,353,C:\\school,포천시_영북초보광분교장.png,416
포천시,냉정초,10762,031-539-0033,경기도 포천시 관인면 냉정리339,127.275185,38.1619724,3007,C:\\school,포천시_냉정초.png,259
포천시,영중초,16513,031-539-0033,경기도 포천시 영중면 성동리891-3,127.2485446,38.0149285,3247,C:\\school,포천시_영중초.png,442
포천시,영평초,49937,031-539-0033,경기도 포천시 영중면 영평리240,127.2172329,38.0159424,2663,C:\\school,포천시_영평초.png,1576
포천시,금주초,15570,031-539-0033,경기도 포천시 영중면 금주리522-1,127.2605413,37.9735394,2209,C:\\school,포천시_금주초.png,445
가평군,목동초광악분교장,7362,031-580-5132,경기도 가평군 북면 화악리845,127.5363063,37.9498092,520,C:\\school,가평군_목동초광악분교장.jpg,228
가평군,상색초두밀분교장,4103,031-580-5132,경기도 가평군 가평읍 두밀리11-2,127.4600647,37.8161656,1014,C:\\school,가평군_상색초두밀분교.png,103
가평군,청평초양진분교장,2165,031-580-5132,경기도 가평군 청평면 고성리777-2,127.4813339,37.710232,639,C:\\school,가평군_청평초양진분교장.png,51
가평군,목동초화악분교장,7558,031-580-5132,경기도 가평군 북면 화악리564-1,127.5670527,37.9301439,1275,C:\\school,가평군_목동초화악분교장.jpg,209
가평군,목동초백둔분교장,14552,031-580-5132,경기도 가평군 북면 백둔리371-2,127.4564396,37.902672,0,C:\\school,가평군_목동초백둔분교.png,485
가평군,조종초운악분교장,9193,031-580-5132,경기도 가평군 조종면 운악리214-6,127.3621915,37.8824547,900,C:\\school,가평군_조종초운악분교.png,276
가평군,미원초엄소분교장,1930,031-580-5132,경기도 가평군 설악면 엄소리234-30,127.4976718,37.6481843,211,C:\\school,가평군_미원초엄소분교장.png,57
가평군,구.목동초,11943,031-580-5132,경기도 가평군 북면 목동리919,127.5468704,37.8891722,1734,C:\\school,가평군_구.목동초.png,340
가평군,청평초회곡분교장,5391,031-580-5132,경기도 가평군 설악면 회곡리528,127.4482003,37.7049116,1230,C:\\school,가평군_청평초양진분교장.png,139
가평군,목동초도대분교장,7187,031-580-5132,경기도 가평군 북면 도대리139-4,127.4908147,37.9246214,732,C:\\school,가평군_목동초도대분교장.png,215
